"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Group to Propose New High-Speed Wireless Format  LOS ANGELES ([[Reuters]]) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.","Group to Propose New High-Speed Wireless Format  LOS ANGELES ([[Reurers]]) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",0.0015039443969726562,0.011476993560791016,3.0,3.0,3.0,1138.0,"Failed"
"Apple Launches Graphics Software, Video Bundle  LOS ANGELES ([[Reuters]]) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.","Apple Launches Graphics Software, Video Bundle  LOS ANGELES ([[Reurers]]) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.",0.002693653106689453,0.015405774116516113,3.0,3.0,3.0,1160.0,"Failed"
"Dutch Retailer [[Beats]] Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.","Dutch Retailer [[Baets]] Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.",0.0007685422897338867,0.002065300941467285,3.0,3.0,3.0,961.0,"Failed"
"Super ant colony hits Australia A giant [[100km]] colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.","Super ant colony hits Australia A giant [[100m]] colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.",0.009645462036132812,0.015271902084350586,3.0,3.0,3.0,520.0,"Failed"
"[[Socialites]] unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.","[[Socialties]] unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",0.03272479772567749,0.06835043430328369,3.0,3.0,3.0,453.0,"Failed"
"Teenage T. rex's monster [[growth]] Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.","Teenage T. rex's monster [[grkwth]] Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.",0.001522839069366455,0.006321132183074951,3.0,3.0,3.0,487.0,"Failed"
"Scientists Discover Ganymede has a Lumpy Interior Jet [[Propulsion]] Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...","Scientists Discover Ganymede has a Lumpy Interior Jet [[Propulsiln]] Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",0.0003412961959838867,0.0005934238433837891,3.0,3.0,3.0,1076.0,"Failed"
"Mars Rovers Relay Images Through Mars Express European Space [[Agency]] -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...","Mars Rovers Relay Images Through Mars Express European Space [[Agehcy]] -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",0.00020819902420043945,0.00036656856536865234,3.0,3.0,3.0,1264.0,"Failed"
"Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western Australia, [[although]] whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.","Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western Australia, [[altough]] whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.",0.0005165338516235352,0.0014176368713378906,3.0,3.0,3.0,1148.0,"Failed"
"Storage, servers bruise HP earnings update Earnings per share rise compared with a year ago, but company misses [[analysts']] expectations by a long shot.","Storage, servers bruise HP earnings update Earnings per share rise compared with a year ago, but company misses [[analystd']] expectations by a long shot.",0.0016301274299621582,0.01325225830078125,3.0,3.0,3.0,557.0,"Failed"
"IBM to hire even more new workers By the end of the year, the computing giant [[plans]] to have its biggest headcount since 1991.","IBM to hire even more new workers By the end of the year, the computing giant [[pflans]] to have its biggest headcount since 1991.",0.11989337205886841,0.9099119305610657,3.0,2.0,3.0,296.0,"Successful"
"Sun's Looking Glass Provides 3D View Developers get early code for new operating system '[[skin']] still being crafted.","Sun's Looking Glass Provides 3D View Developers get early code for new operating system '[[soin']] still being crafted.",0.0008358955383300781,0.004287838935852051,3.0,3.0,3.0,404.0,"Failed"
"IBM [[Chips]] May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.","IBM [[Chops]] May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.",0.002064943313598633,0.008673012256622314,3.0,3.0,3.0,438.0,"Failed"
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.","Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",0.9707434773445129,0.9707434773445129,2.0,2.0,3.0,1.0,"Skipped"
"Rivals Try to Turn Tables on Charles Schwab By [[MICHAEL]] LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","Rivals Try to Turn Tables on Charles Schwab By [[MIDHAEL]] LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",0.0003590583801269531,0.1848393678665161,3.0,3.0,3.0,941.0,"Failed"
"[[News]]: Sluggish movement on power grid cyber security Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\","[[Ness]]: Sluggish movement on power grid cyber security Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\",0.00023609399795532227,0.0002792477607727051,3.0,3.0,3.0,576.0,"Failed"
"[[Giddy]] Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.","[[Giwdy]] Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.",0.2637284994125366,0.4292859435081482,1.0,1.0,1.0,488.0,"Failed"
"Tougher rules won't soften Law's [[game]] FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...","Tougher rules won't soften Law's [[gane]] FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",8.308887481689453e-05,0.00014221668243408203,1.0,1.0,1.0,1114.0,"Failed"
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox [[continue]] to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...","Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox [[contunue]] to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",0.060156822204589844,0.3225550651550293,1.0,1.0,1.0,1160.0,"Failed"
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good [[night's]] rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...","Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good [[nighr's]] rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",8.71419906616211e-05,0.00027304887771606445,1.0,1.0,1.0,860.0,"Failed"
"They've caught his eye In  quot;helping themselves, [[quot]]; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.","They've caught his eye In  quot;helping themselves, [[qyot]]; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.",5.888938903808594e-05,6.520748138427734e-05,1.0,1.0,1.0,705.0,"Failed"
"Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis [[Hafner]] and Victor Martinez.","Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis [[Hadner]] and Victor Martinez.",0.00025838613510131836,0.00036132335662841797,1.0,1.0,1.0,663.0,"Failed"
"Sister of man who died in Vancouver police custody slams chief ([[Canadian]] Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.","Sister of man who died in Vancouver police custody slams chief ([[Cansdian]] Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.",0.0003923773765563965,0.0004684925079345703,0.0,0.0,0.0,932.0,"Failed"
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash [[settlement]] of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.","Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash [[settlemnet]] of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0.000597834587097168,0.0017284154891967773,0.0,0.0,0.0,840.0,"Failed"
"Explosions Echo Throughout Najaf NAJAF, [[Iraq]] - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...","Explosions Echo Throughout Najaf NAJAF, [[Ieaq]] - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...",0.00021964311599731445,0.00026863813400268555,0.0,0.0,0.0,918.0,"Failed"
"Frail Pope Celebrates Mass at Lourdes LOURDES, [[France]] - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French...","Frail Pope Celebrates Mass at Lourdes LOURDES, [[Frsnce]] - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French...",0.00020736455917358398,0.00034797191619873047,0.0,0.0,0.0,1270.0,"Failed"
"Venezuela Prepares for Chavez Recall Vote Supporters and rivals [[warn]] of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.","Venezuela Prepares for Chavez Recall Vote Supporters and rivals [[wxrn]] of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.",0.18361890316009521,0.9725314974784851,0.0,2.0,0.0,633.0,"Successful"
"1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services [[Employment]] and Reemployment Rights Act (USERRA).","1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services [[Employmnet]] and Reemployment Rights Act (USERRA).",0.0007459521293640137,0.028138697147369385,0.0,0.0,0.0,876.0,"Failed"
"Iran Warns Its Missiles Can Hit Anywhere in [[Israel]]  TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.","Iran Warns Its Missiles Can Hit Anywhere in [[IsYrael]]  TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.",0.00025516748428344727,0.00034105777740478516,0.0,0.0,0.0,975.0,"Failed"
"Afghan Army Dispatched to Calm Violence KABUL, [[Afghanistan]] - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...","Afghan Army Dispatched to Calm Violence KABUL, [[Afghanistwn]] - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...",0.0002078413963317871,0.00024825334548950195,0.0,0.0,0.0,1104.0,"Failed"
"Johnson Helps [[D-Backs]] End Nine-Game Slide (AP) AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.","Johnson Helps [[DB-acks]] End Nine-Game Slide (AP) AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.",5.9723854064941406e-05,6.35385513305664e-05,1.0,1.0,1.0,761.0,"Failed"
"Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers are hoping their\[[back-to-school]] fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.","Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers are hoping their\[[baock-to-school]] fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.",0.00045162439346313477,0.0016630887985229492,2.0,2.0,2.0,1000.0,"Failed"
"[[Politics]] an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.","[[Porlitics]] an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.",0.0003364086151123047,0.9942922592163086,0.0,3.0,0.0,982.0,"Successful"
"Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after [[China's]] biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.","Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after [[Chona's]] biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",0.009876430034637451,0.028705179691314697,3.0,3.0,3.0,1052.0,"Failed"
"Erstad's Double [[Lifts]] Angels to Win (AP) AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.","Erstad's Double [[Lifs]] Angels to Win (AP) AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.",0.00010454654693603516,0.00013267993927001953,1.0,1.0,1.0,879.0,"Failed"
"Drew Out of Braves' Lineup After Injury (AP) AP - Outfielder J.D. Drew missed the [[Atlanta]] Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.","Drew Out of Braves' Lineup After Injury (AP) AP - Outfielder J.D. Drew missed the [[Ahlanta]] Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.",6.461143493652344e-05,8.189678192138672e-05,1.0,1.0,1.0,585.0,"Failed"
"Venezuelans Flood [[Polls]], Voting Extended  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.","Venezuelans Flood [[Pools]], Voting Extended  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.",0.002134978771209717,0.008318841457366943,0.0,0.0,0.0,1070.0,"Failed"
"Dell Exits [[Low-End]] China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.","Dell Exits [[Low-Ehd]] China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.",0.2818312644958496,0.8617272973060608,3.0,2.0,3.0,839.0,"Successful"
"China [[Says]] Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.","China [[Sas]] Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.",0.0003600120544433594,0.0005127191543579102,0.0,0.0,0.0,824.0,"Failed"
"Another Major [[Non-Factor]] Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.","Another Major [[Non-Fachor]] Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.",0.0003858804702758789,0.001054227352142334,1.0,1.0,1.0,606.0,"Failed"
"US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean [[peninsula]], US authorities said.","US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean [[pennisula]], US authorities said.",0.0003782510757446289,0.0006917715072631836,0.0,0.0,0.0,873.0,"Failed"
"Johnson Back to His Best as D-Backs End Streak  NEW YORK ([[Reuters]]) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.","Johnson Back to His Best as D-Backs End Streak  NEW YORK ([[Reurers]]) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.",6.16312026977539e-05,7.11679458618164e-05,1.0,1.0,1.0,747.0,"Failed"
"Restive [[Maldives]] eases curfew after rounding up dissidents (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.","Restive [[Msldives]] eases curfew after rounding up dissidents (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.",0.00019246339797973633,0.00022238492965698242,0.0,0.0,0.0,944.0,"Failed"
"Vodafone hires Citi for Cesky bid (TheDeal.com) TheDeal.com - The U.K. [[mobile]] giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.","Vodafone hires Citi for Cesky bid (TheDeal.com) TheDeal.com - The U.K. [[mlbile]] giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.",0.00029969215393066406,0.0010648369789123535,3.0,3.0,3.0,541.0,"Failed"
